title	url
Arroyo's Mexican Cafe (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d513544-Reviews-Arroyo_s_Mexican_Cafe-Stockton_California.html
In-N-Out Burger (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d3666320-Reviews-In_N_Out_Burger-Stockton_California.html
Starbucks (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d4113477-Reviews-Starbucks-Stockton_California.html
Waterloo (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d2224396-Reviews-Waterloo-Stockton_California.html
Market Tavern (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d6031429-Reviews-Market_Tavern-Stockton_California.html
Cocoro Japanese Bistro & Sushi (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d468722-Reviews-Cocoro_Japanese_Bistro_Sushi-Stockton_California.html
Prime Table Steakhouse (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d11913784-Reviews-Prime_Table_Steakhouse-Stockton_California.html
Pier Market Seafood Restaurant (San Francisco)	https://www.tripadvisor.com/Restaurant_Review-g60713-d480544-Reviews-Pier_Market_Seafood_Restaurant-San_Francisco_California.html
Mersea Restaurant & Bar (San Francisco)	https://www.tripadvisor.com/Restaurant_Review-g60713-d13497261-Reviews-Mersea_Restaurant_Bar-San_Francisco_California.html
In-N-Out Burger (San Francisco)	https://www.tripadvisor.com/Restaurant_Review-g60713-d1007177-Reviews-In_N_Out_Burger-San_Francisco_California.html
Benu (San Francisco)	https://www.tripadvisor.com/Restaurant_Review-g60713-d1898383-Reviews-Benu-San_Francisco_California.html
Restaurant Gary Danko (San Francisco)	https://www.tripadvisor.com/Restaurant_Review-g60713-d370412-Reviews-Restaurant_Gary_Danko-San_Francisco_California.html
Park Cafe+Restaurant (New York)	https://www.tripadvisor.com/Restaurant_Review-g46915-d14092548-Reviews-Park_Cafe_Restaurant-West_New_York_New_Jersey.html
Pause Cafe (New York)	https://www.tripadvisor.com/Restaurant_Review-g60763-d4650973-Reviews-Pause_Cafe-New_York_City_New_York.html
Nusr-Et Steakhouse New York	https://www.tripadvisor.com/Restaurant_Review-g60763-d13203586-Reviews-Nusr_Et_Steakhouse_New_York-New_York_City_New_York.html
Bluebird London NYC	https://www.tripadvisor.com/Restaurant_Review-g60763-d15058185-Reviews-Bluebird_London_NYC-New_York_City_New_York.html
Ariete (Miamai)	https://www.tripadvisor.com/Restaurant_Review-g34438-d9818282-Reviews-Ariete-Miami_Florida.html
Los Felix (Miamai)	https://www.tripadvisor.com/Restaurant_Review-g34438-d25723361-Reviews-Los_Felix-Miami_Florida.html
Jalapeno Mexican Kitchen (Miamai)	https://www.tripadvisor.com/Restaurant_Review-g34439-d7264892-Reviews-Jalapeno_Mexican_Kitchen-Miami_Beach_Florida.html
Sexy Fish Miami (Miamai)	https://www.tripadvisor.com/Restaurant_Review-g34438-d23873650-Reviews-Sexy_Fish_Miami-Miami_Florida.html
McDonald's (Miami)	https://www.tripadvisor.com/Restaurant_Review-g34438-d4181591-Reviews-McDonald_s-Miami_Florida.html
Commander's Palace (New Orleans)	https://www.tripadvisor.com/Restaurant_Review-g60864-d426290-Reviews-Commander_s_Palace-New_Orleans_Louisiana.html
Pêche Seafood Grill (New Orleans)	https://www.tripadvisor.com/Restaurant_Review-g60864-d4290690-Reviews-Peche_Seafood_Grill-New_Orleans_Louisiana.html
Hard Rock Cafe (New Orleans)	https://www.tripadvisor.com/Restaurant_Review-g60864-d426409-Reviews-Hard_Rock_Cafe-New_Orleans_Louisiana.html
Cornet (New Orleans)	https://www.tripadvisor.com/Restaurant_Review-g60864-d8427211-Reviews-Cornet-New_Orleans_Louisiana.html
Mulate's New Orleans (New Orleans)	https://www.tripadvisor.com/Restaurant_Review-g60864-d477708-Reviews-Mulate_s_New_Orleans-New_Orleans_Louisiana.html
Arroyo’s Mexican Café (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d513544-Reviews-Arroyo_s_Mexican_Cafe-Stockton_California.html
In-N-Out Burger (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d3666320-Reviews-In_N_Out_Burger-Stockton_California.html
Cocoro Japanese Bistro & Sushi (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d468722-Reviews-Cocoro_Japanese_Bistro_Sushi-Stockton_California.html
Market Tavern (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d6031429-Reviews-Market_Tavern-Stockton_California.html
Dave Wong’s Restaurant (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d2709601-Reviews-Dave_Wong_s_Restaurant-Stockton_California.html
Angelina’s Spaghetti House (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d4203822-Reviews-Angelina_s_Spaghetti_House-Stockton_California.html
Breadfruit Tree Restaurant (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d538743-Reviews-Breadfruit_Tree_Restaurant-Stockton_California.html
Waterloo (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d2224396-Reviews-Waterloo-Stockton_California.html
Xochimilco Café (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d2231110-Reviews-Xochimilco_Cafe-Stockton_California.html
Yasoo Yani Restaurant (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d4951593-Reviews-Yasoo_Yani_Restaurant-Stockton_California.html
Prime Table Steakhouse (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d11913784-Reviews-or15-Prime_Table_Steakhouse-Stockton_California.html
Bob’s at the Marina (Stockton)	https://www.tripadvisor.com/Restaurant_Review-g33130-d4654391-Reviews-or15-Bobs_at_the_Marina-Stockton_California.html
